"类型","题目","选项","答案"
"多选题","我行对于哪类名单客户必须要经过分行级高级管理层签字审批后，才可以开户或建立业务关系？（   ）","a：特殊名单
b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户
d：灰名单","b：外国政要以及其父母、配偶、子女等近亲属及其他关系密切的人员
c：高危国家与地区名单中的“高风险”等级国家/地区的客户"
"判断题","银行业从业人员应当按照纪律要求处理自身与所在机构的利益冲突。存在潜在冲突的情况下，应当主动放弃自身的利益。","a：正确
b：错误","b：错误"
"单选题","对于属于（   ）的，总行各部门、事业部、分行、附属机构应立即向总行纪检监察室报送。","a：黄色预警
b：红色预警
c：橙色预警
d：蓝色预警","b：红色预警"
"多选题","《金融机构客户身份识别和客户身份资料及交易记录保存管理办法》规定：金融机构应当按照（   ）的原则，妥善保存客户身份资料和交易记录，确保能足以重现每项交易，以提供识别客户身份、监测分析交易情况、调查可疑交易活动和查处洗钱案件所需的信息。","a：安全
b：准确
c：完整
d：保密","a：安全
b：准确
c：完整
d：保密"
"单选题","员工转移、隐匿违规违纪违法取得的资产，造成严重后果的，给予（   ）处分，可并处经济处分或其他处分。","a：通报批评
b：直接开除
c：降级至开除处分
d：警告至记大过","c：降级至开除处分"
"判断题","员工对被巡视单位员工反映强烈，属于巡视范围内的问题应当发现的重要问题没有发现，情节较重的，给予降级至留用察看处分。","a：正确
b：错误","a：正确"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下说法正确的是（   ）。","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈","a：对残障者或语言存在障碍的客户，银行业从业人员应当尽可能为其提供便利
b：银行业从业人员在受雇期间及离职后，均不得违反法律法规和所在机构关于客户隐私保护的规定，违规泄露任何客户资料和交易信息
c：严禁银行业从业人员为达成交易而隐瞒风险或进行虚假或误导性陈述
d：银行业从业人员应当坚持客户至上、客观公正原则，耐心、礼貌、认真地处理客户投诉，及时作出有效反馈"
"多选题","有关部门开展调查核实工作后，形成的调查报告一般应包括（   ）。","a：违规违纪问题线索来源
b：调查的组织开展情况
c：查清的主要违规违纪事实和具体情节、对违规违纪行为的定性意见、责任人应负责任以及经调查否定的问题
d：被调查人的态度、认识
e：依据查清的违规违纪问题的事实、情节、性质、责任、责任人悔错态度，以及有关规章制度，提出的具体建议","a：违规违纪问题线索来源
b：调查的组织开展情况
c：查清的主要违规违纪事实和具体情节、对违规违纪行为的定性意见、责任人应负责任以及经调查否定的问题
d：被调查人的态度、认识
e：依据查清的违规违纪问题的事实、情节、性质、责任、责任人悔错态度，以及有关规章制度，提出的具体建议"
"多选题","员工受纪律处分期间，晋升和绩效考核受到的影响包括（   ）。","a：违规违纪行为发生前已取得的行内荣誉应当收回
b：不得晋升职务
c：不得提升职级和薪档
d：不得参与评先评优","b：不得晋升职务
c：不得提升职级和薪档
d：不得参与评先评优"
"判断题","员工所在团队/机构负责人为员工异常行为监督管理的第一责任人，直接负责所辖团队员工异常行为的信息上报及监控帮教工作。","a：正确
b：错误","a：正确"
"单选题","根据《银行业从业人员职业操守和行为准则》，以下说法错误的是（   ）。","a：银行业从业人员应当真诚对待客户，珍视声誉、信守承诺
b：银行从业人员应该自觉抵制违法违规违纪行为，坚持不碰政治底线、不越纪律红线
c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职
d：银行业从业人员应当借助科技赋能，竭诚为客户和社会提供规范、快捷、高效的金融服务。","c：银行从业人员应该以服务国家战略、服务虚拟经济、服务客户为天职"
"多选题","全行问责委员会按照机构层级分为：(   )。各级问责委员会依照本制度规定权限对所辖机构违规违纪员工进行问责。","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会
d：支行问责委员会","a：总行问责委员会
b：分行（事业部）问责委员会
c：二级分行问责委员会"
"单选题","法人金融机构应当以自评估报告和结论为基础，制定或持续调整、完善经（   ）批准的洗钱风险管理政策、控制措施和程序，并关注控制措施的执行情况。","a：董事会
b：监事会
c：高级管理层
d：反洗钱领导小组","c：高级管理层"
"单选题","给予暂停上岗资格处分的，应当明确暂停期限。暂停期限不低于（   ）个月，暂停期满后自动恢复上岗资格。","a：1
b：3
c：6
d：10","b：3"
"判断题","实施洗钱风险评级应用的总行部门需从自身专业管理的角度，对不同洗钱风险等级客户的应用规则进行统筹考虑，对不同风险程度（包括洗钱风险在内）的客户制定相匹配的业务准入或管控措施，并自主决定是否与其建立、维持或中止业务关系，不得通过要求反洗钱管理部门降低客户洗钱风险评级的方式，满足业务准入或审批要求。","a：正确
b：错误","a：正确"
"多选题","为更有效地实现对员工异常行为的监督和管理，我行针对员工异常行为建立预警机制，预警分为（   ）几个级别。","a：黄色预警
b：蓝色预警
c：橙色预警
d：红色预警","a：黄色预警
c：橙色预警
d：红色预警"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下做法错误的是（   ）。","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品
d：严格执行贷前调查、贷时审查和贷后检查等“三查”工作","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品"
"多选题","可疑交易符合哪些情形的，金融机构应当在向中国反洗钱监测分析中心提交可疑交易报告的同时，以电子形式或书面形式向所在地中国人民银行或者其分支机构报告，并配合反洗钱调查？（   ）","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的
d：正常交易的","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的"
"单选题","根据《银行业从业人员职业操守和行为准则》，银行从业人员的以下做法正确的是（   ）。","a：参与非法吸收公众存款
b：非法向在校学生发放贷款
c：为特定客户优于同等条件办理高端信用卡
d：发现泄密事件，立即采取相关措施","d：发现泄密事件，立即采取相关措施"
"单选题","员工异常行为监督管理工作组实行例会办法（事业部分部在当地分行参加例会），例会（   ）召开一次，特殊情况可随时召开。","a：每半年
b：每月
c：每季度
d：每两月","c：每季度"
"判断题","银行业从业人员在向客户销售产品的过程中，应当严格落实销售专区录音录像等监管要求。","a：正确
b：错误","a：正确"
"单选题","调查组成员有下列哪项情形的，可以不用提出回避申请？（   ）","a：与被调查的员工是亲子关系的
b：与被调查的员工是同学关系的
c：与被调查的违规违纪行为有利害关系的
d：与被调查的员工是夫妻关系的","b：与被调查的员工是同学关系的"
"判断题","对于通过强化尽职调查和审慎评估后，有充足理由判断客户、业务关系的洗钱风险程度不符合较高以上风险程度时，确需调整风险级别的，应提供真实、充分佐证材料，经分管客户归属条线的高级管理层审批后，可将风险等级调整为低风险。","a：正确
b：错误","b：错误"
"单选题","调查时间原则上不得超过30个工作日。如确因工作需要，经（   ）批准，上述时间可酌情延长。","a：调查组全体成员
b：派出调查组的问责委员会的主席或副主席
c：总行具有检查、管理、监督职能的部门
d：调查部门分管领导","d：调查部门分管领导"
"判断题","为提高个人销售业绩，员工可以向客户虚假宣传。","a：正确
b：错误","b：错误"
"判断题","出租、出借个人账户、控制客户账户的，给予警告至记大过处分；情节较重的，给予降级至留用察看处分；情节严重的，给予开除处分。可并处经济处分或其他处分。","a：正确
b：错误","a：正确"
"多选题","因员工（   ）等原因造成无法送达的，不影响我行依据本办法规定对责任人开展后续问责流程。","a：退休
b：离职
c：失联
d：休假","a：退休
b：离职
c：失联"
"判断题","在反洗钱管理工作中，员工可以拒绝提供调查材料而不必收到任何处分。","a：正确
b：错误","b：错误"
"单选题","下列哪种行为不属于违背社会公德及家庭美德的行为？（   ）","a：在公共场所，行为不当、形象不佳
b：尊老爱幼
c：对老人不孝，对孩子无责，对配偶不尊重
d：在工作场所，衣着随意、言行粗鄙","b：尊老爱幼"
"单选题","下列哪项不属于本办法规定的行规纪律处分？（   ）","a：警告
b：降级
c：诫勉
d：开除","c：诫勉"
"多选题","收单机构应当建立特约商户信息管理系统，记录特约（   ）和（   ）、特约商户身份资料信息、（   ）、（   ）、收单银行结算账户信息、开通的交易类型和开通时间、受理终端（网络支付接口）类型和安装地址等信息，并及时进行更新。其中网络支付接口的安装地址为特约商户的办公地址和从事经营活动的网络地址。","a：商户名称
b：经营地址
c：结算手续费标准
d：特约商户类别","a：商户名称
b：经营地址
c：结算手续费标准
d：特约商户类别"
"判断题","中国支付清算协会关于印发《特约商户巡检指引》的通知中特约商户分为实体特约商户和网络特约商户。","a：正确
b：错误","a：正确"
"单选题","付款人开户机构应当根据付款人授权及本机构风险策略等设置代收业务风险防控措施。对与付款人以非面对面方式建立授权关系的，应当设置（   ）级别风险防控措施。","a：更高
b：低
c：更低
d：以上均可","a：更高"
"单选题","发卡机构自交易日起交易数据应至少妥善保管（   ）。相关法律法规有更长时限要求的，可相应延长保管时限。","a：6个月
b：3年
c：5年
d：10年","c：5年"
"单选题","有关无卡自助消费业务的交易，下列说法错误的是（   ）。","a：消费撤销支持部分金额撤销
b：商户可发起退货交易
c：持卡人不可自助发起预授权撤销
d：退货交易支持多次退货","a：消费撤销支持部分金额撤销"
"判断题","根据相关业务规则，银联卡无卡自助消费业务是一项机构可选开展的银联业务。","a：正确
b：错误","b：错误"
"多选题","付款人开户机构应当事先或者在为付款人办理首笔代收业务时取得付款人的授权。授权应当明确（   ）等事项。","a：收款人名称
b：付款用途
c：付款账号
d：付款周期或者条件
e：授权期限
f：服务费用","a：收款人名称
b：付款用途
c：付款账号
d：付款周期或者条件
e：授权期限
f：服务费用"
"单选题","收单机构应按协议约定及时将交易资金结算到特约商户的收单银行结算账户，资金结算时限最迟不得超过持卡人确认可直接向特约商户付款的支付指令生效之日起（   ）个自然日。","a：10
b：20
c：30
d：60","c：30"
"多选题","发生下列情况之一，中国银联有权终止收单机构入网开办的无卡自助消费业务：（   ）。","a：已丧失中国银联成员机构资格
b：违反某项规则条款，需要整改
c：违反规则条款，造成其他业务参与方损失，已承担业务风险损失
d：违反规则条款，造成其他业务参与方重大声誉损失","a：已丧失中国银联成员机构资格
d：违反规则条款，造成其他业务参与方重大声誉损失"
"判断题","支付机构受理的涉及银行账户的网络支付业务通过网联平台处理，也可以由支付机构与银行直连处理。","a：正确
b：错误","b：错误"
"判断题","收单机构应当建立资金结算风险管理制度，不得挪用特约商户待结算资金。","a：正确
b：错误","a：正确"
"单选题","在发卡机构自助识别模式中，对于无卡自助预授权交易，境内发行的借记卡交易验证内容至少包括哪些要素？（   ）","a：卡号、密码
b：卡号、手机号、密码
c：卡号、动态验证码
d：身份证号、手机号","c：卡号、动态验证码"
"判断题","妥善处理交易数据信息、保存交易凭证，保障交易信息安全。","a：正确
b：错误","a：正确"
"判断题","代收业务的定义是：指经付款人同意，收款人委托代收机构按照约定的频率、额度等条件，从付款人开户机构扣划付款人账户资金给收款人，且付款人开户机构不再与付款人逐笔进行交易确认的支付业务。","a：正确
b：错误","a：正确"
"多选题","以同一个身份证件在同一家收单机构班里的全部小微商户受理信用卡的收款金额上限为日累计（   ）、月累计（   ）。","a：1000
b：5000
c：10000
d：50000","a：1000
c：10000"
"单选题","对于网关支付的退款交易，以下表述正确的选项是（   ）。","a：不支持退货
b：仅支持退货1次
c：退货金额可大于原金额
d：支持多次退货","d：支持多次退货"
"单选题","加强支付创新规范管理。对于重要支付技术应用、业务创新，各商业银行、支付机构应至少于项目上线前（   ）向人民银行备案，提交项目实施方案、外部安全评估报告等书面材料。业务开展过程中，应做好风险的动态监测、评估和防控工作。","a：5日
b：15日
c：30日
d：2个月","c：30日"
"多选题","开展创新业务应事前报告，以下哪几项是报告内容需要涉及的内容？（   ）","a：基本业务流程
b：资金清算及结算方式
c：合作方式
d：收费项目及标准
e：技术标准","a：基本业务流程
b：资金清算及结算方式
c：合作方式
d：收费项目及标准
e：技术标准"
"单选题","个人网关支付交易中验证客户银行卡的（   ）。","a：开户时间
b：查询密码
c：交易密码
d：开户网点","c：交易密码"
"多选题","为确保交易信息真实、完整、可追溯，支付机构与银行合作开展银行账户付款或者收款业务的，应当严格执行《银行卡收单业务管理办法》（中国人民银行公告〔2013〕第9号发布）、《非银行支付机构网络支付业务管理办法》（中国人民银行公告〔2015〕第43号公布）等制度规定，做到以下几点：（   ）。","a：确保交易信息的真实性、完整性、可追溯性以及在支付全流程中的一致性
b：不得篡改或者隐匿交易信息交易信息应当至少保存5年
c：银行和支付机构应当于2017年3月31日前按照网络支付报文相关金融行业技术标准完成系统改造，逾期未完成改造的，暂停有关业务。
d：不做任何处理。","a：确保交易信息的真实性、完整性、可追溯性以及在支付全流程中的一致性
b：不得篡改或者隐匿交易信息交易信息应当至少保存5年
c：银行和支付机构应当于2017年3月31日前按照网络支付报文相关金融行业技术标准完成系统改造，逾期未完成改造的，暂停有关业务。"
"单选题","银联付款类业务包括（   ）。","a：银联贷记业务
b：银联标记化付款业务
c：云闪付转账业务
d：以上全部","d：以上全部"
"判断题","不得因持卡人使用银行卡而向持卡人收取或变相收取附加费用，或降低服务水平。","a：正确
b：错误","a：正确"
"单选题","中国支付清算协会关于印发《特约商户巡检指引》的通知中对连续（   ）个月无交易的支付受理终端（备机除外）和收款条码，收单机构应停止提供收款服务。","a：一
b：三
c：六
d：十二","d：十二"
"多选题","代收机构办理跨机构交易业务应当按照清算机构相关代收业务规则发送交易信息，确保交易信息的（   ）、（   ）、（   ），不得虚构、篡改或者隐匿交易信息。","a：真实性
b：完整性
c：可追溯性
d：便捷性","a：真实性
b：完整性
c：可追溯性"
"单选题","付款人开户机构应当通过（   ）、微信或邮件等事先约定的有效方式及时向付款人逐笔提示代收业务信息。","a：电话
b：短信
c：面对面
d：远程银行","b：短信"
"多选题","有关无卡自助消费业务发卡侧，下列说法正确的是（   ）。","a：单卡单日许可输入错误次数由发卡机构自行确定
b：银联网络的部分卡种无法开通无卡自助消费业务
c：发卡机构可根据相关要求，对银联发布的高风险商户发起的无卡自助消费交易进行拒绝
d：发卡机构辅助识别模式是指由收单机构收集卡片密码等账户信息","a：单卡单日许可输入错误次数由发卡机构自行确定
c：发卡机构可根据相关要求，对银联发布的高风险商户发起的无卡自助消费交易进行拒绝"
"判断题","收单机构应建立收单交易风险监测系统，对可疑交易及时审查并采取有效措施。","a：正确
b：错误","a：正确"
"单选题","数字人民币具有价值特征，可在不依赖银行账户的前提下进行价值转移，并支持离线交易，具有（   ）特性。","a：匿名性
b：成本低
c：便携性强
d：支付即结算","d：支付即结算"
"单选题","购房易业务适用于哪些业务场景？（   ）","a：一手房认筹
b：二手房交易
c：房屋租赁
d：维修基金","b：二手房交易"
"判断题","银联贷记业务系统24小时运行，但法定节假日不运行。","a：正确
b：错误","b：错误"
"单选题","客户签约宝付易锁定资金，交易（   ）生效。","a：即时
b：次日
c：等待商户确认
d：实时","a：即时"
"单选题","（   ）是指客户在事先或首笔交易时将指定借记卡账户与收单机构建立一次签约、多次支付的业务关系，客户在支付交易订单时，无需借记卡卡号或密码，由收单机构基于签约协议号发起借记交易，我行按照该转发的指令直接扣划签约绑定的借记卡账户完成支付。","a：快捷支付
b：网关支付
c：认证支付
d：委托支付","a：快捷支付"
"单选题","《中国民生银行网络支付结算业务定价指引（2021年版）》本行银联扫码支付业务借记卡服务指导价格为（   ）。","a：0
b：0.10%
c：0.40%
d：0.50%","c：0.40%"
"单选题","对于预付费类的交易场景，客户签约宝付易产品进行资金冻结，资金冻结在（   ）。","a：客户个人结算账户
b：商户监管账户
c：商户结算账户
d：信用卡账户","a：客户个人结算账户"
"判断题","跨行通可归集客户同名他行资金。","a：正确
b：错误","a：正确"
"单选题","宝付易单笔锁金限额为（   ）。","a：10000
b：50000
c：100000
d：无限制","d：无限制"
"判断题","个人客户缴费支付方式包括但不限于支持借记卡、信用卡、电子账户以及第三方支付等。","a：正确
b：错误","a：正确"
"单选题","一码通扫功能的上线涉及我行产品更新的不包含哪一项？（   ）","a：支持受理静态码
b：动态码四码聚合
c：硬件钱包
d：跨屏扫码四码聚合","c：硬件钱包"
"单选题","客户签约系统自动代扣是指客户须在我行营业（   ）等有效渠道完成身份验证并进行协议签约授权后，缴费中心根据客户意愿和供缴单位缴费指令自动发起代缴扣款处理。","a：网点柜台
b：网上银行
c：手机银行渠道
d：以上都对","d：以上都对"
"多选题","“乐收银”账簿子账簿包含哪几类账簿？（   ）","a：转入子账簿
b：转出子账簿
c：计息子账簿
d：客户子账簿
e：管理子账簿","d：客户子账簿
e：管理子账簿"
"单选题","收付易商户或合作方完成相应审批流程后，使用直连版的商户或合作方须与我行完成接口联调，（   ）进行通道配置、上线开通。","a：商户
b：分行
c：总行
d：以上都不对","c：总行"
"单选题","关于银联手机闪付小额免密，下列说法错误的是：（   ）。","a：小额免密功能不能默认签约
b：可以通过手机银行、个人网银、电话银行关闭
c：可以通过手机银行、个人网银、电话银行调整免密限额
d：需要客户去柜台申请开通","d：需要客户去柜台申请开通"
"单选题","《中国民生银行网络支付结算业务定价指引（2021年版）》跨行B2C网银支付借记卡服务指导价格为（   ）。","a：0
b：0.10%
c：0.18%
d：0.20%","c：0.18%"
"判断题","快捷支付业务中，支付机构可以在未获得银行账户合法拥有者本人授权的情况下，发起身份认证及协议签约。","a：正确
b：错误","b：错误"
"判断题","行业应用服务商业务模式下，中间业务收入会归属拓展服务商的主办行。","a：正确
b：错误","a：正确"
"判断题","宝付易冻结资产金额将从客户总资产中进行扣除展示。","a：正确
b：错误","b：错误"
"单选题","数字人民币钱包持有主体可将主要的钱包设为母钱包，并可在母钱包下开设几个子钱包？（   ）","a：一个
b：两个
c：五个
d：若干","d：若干"
"判断题","在快捷支付业务中，银行预留手机号是指客户在银行登记并与银行账户绑定，用于网络支付身份识别及交易验证的手机号码。","a：正确
b：错误","a：正确"
"多选题","网上支付跨行清算系统中借记支付业务可支持（   ）等类型的资金支付行为。","a：实时代收
b：贷款还款
c：收款
d：消费
e：慈善捐款
f：投资理财","a：实时代收
b：贷款还款
c：收款
d：消费
e：慈善捐款
f：投资理财"
"单选题","在实名快付产品合作中，商户应在我行网点开立（   ），用于实名快付结算资金的落地服务。","a：个人存折
b：信用卡
c：挡板账号
d：对公结算账户","d：对公结算账户"
"判断题","境外收单机构或其收单商户从事违法违规业务的属于禁入类商户。","a：正确
b：错误","a：正确"
"判断题","持卡人通过我行电子渠道签署电子签约自动缴费协议，同意由我行代客户自动完成缴费。我行根据商户上传代缴费清单，核实是否存在客户签约关系，并对已签约客户发起代扣。","a：正确
b：错误","a：正确"
"多选题","网络支付审批成本价是0.1%的本行收单产品包括（   ）。","a：B2C
b：B2B
c：控件支付
d：协议支付","a：B2C
c：控件支付
d：协议支付"
"单选题","T+0结算商户必须满足入网满90天且90天内正常交易天数超过（   ）。","a：10天
b：20天
c：30天
d：60天","c：30天"
"单选题","根据网络支付特约商户的评级计分结果将特约商户分为A、B、C、D四类，那么得分在70分属于（   ）商户。","a：A类
b：B类
c：C类
d：D类","c：C类"
"单选题","跨行通实时扣扣款的最低限额是多少？（   ）","a：1元
b：5元
c：10元
d：无限额","c：10元"
"判断题","数字人民币体系结合区块链共识机制和可编程智能合约特性实现自动对账和自动差错处理。","a：正确
b：错误","a：正确"
"单选题","（缴费-智能代收付）缴费合作分对分业务模式是指分行以服务（   ）为前提，与当地供缴单位合作，提供代扣代缴服务。","a：区域客户
b：全国客户
c：线下客户
d：线上客户","a：区域客户"
"单选题","以下哪个不是收付易代付商户使用的接口服务？（   ）","a：单笔代发交易
b：批量交易状态查询
c：对账文件下载
d：委托扣款协议客户身份认证","d：委托扣款协议客户身份认证"
"多选题","宝付易产品适用场景包括（   ）。","a：房屋认筹
b：会员储值
c：设备押金
d：保证金类","a：房屋认筹
b：会员储值
c：设备押金
d：保证金类"
"判断题","缴费通商户签约时只需要签署《中国民生银行行业缴费通缴费收款业务申请表》，不需要单独签署《中国民生银行行业缴费通收费服务协议》。","a：正确
b：错误","b：错误"
"单选题","中国民生银行借记卡线上支付业务管理办法，适用于我行作为（   ），通过人民银行清算总中心（以下简称清算总中心）、银联、网联等监管机构认可的合法清算组织，与收单机构合作的借记卡线上支付业务，收单机构包括但不限于非银行支付机构、银行业金融机构。","a：账户银行
b：第三方机构
c：特约商户
d：监督银行","a：账户银行"
"单选题","对特约商户申请材料、资质审核材料、受理协议、培训和检查记录、信息变更、终止合作等档案资料，收单机构应当至少保存至收单服务终止后（   ）年。","a：1
b：3
c：5
d：6","c：5"
"多选题","跨行通签约时提示“实名认证失败”，以下哪个选项是有可能失败原因？（   ）","a：客户在我行开户的身份证号、姓名与对方行的开户信息不符，或卡号输入不正确
b：客户所输入的付款帐号为跨行通暂不支持的银行。
c：客户输入的付款帐户不是借记卡，而是存折、贷记卡或信用卡。
d：客户他行卡需要开通银联在线支付功能或余额变动短信通知功能。","a：客户在我行开户的身份证号、姓名与对方行的开户信息不符，或卡号输入不正确
b：客户所输入的付款帐号为跨行通暂不支持的银行。
c：客户输入的付款帐户不是借记卡，而是存折、贷记卡或信用卡。
d：客户他行卡需要开通银联在线支付功能或余额变动短信通知功能。"
"判断题","特约商户在事前准入评级工作中，优先审查“前置否决评级”，对于触犯禁止类条件的特约商户采取直接清退。","a：正确
b：错误","a：正确"
"多选题","对公数字人民币钱包根据开立渠道可以分为两类，分别是（   ）（   ）。","a：柜面开立的一类钱包
b：柜面开立的二类钱包
c：非柜面渠道开立的一类钱包
d：非柜面开立的二类钱包","a：柜面开立的一类钱包
d：非柜面开立的二类钱包"
"判断题","针对符合监管要求的物流、机票售卖、交通罚款等移动支付需求的商户，分行可以取消智能POS商户的定位功能。","a：正确
b：错误","a：正确"
"判断题","云闪付APP中操作闪付小额免密设置时，需验证预留手机号短信验证码。","a：正确
b：错误","a：正确"
"单选题","《中国民生银行网络支付结算业务定价指引（2021年版）》本行协议支付借记卡服务指导价格为（   ）。","a：0
b：0.10%
c：0.20%
d：0.50%","b：0.10%"
"单选题","《中国民生银行网络支付结算业务定价指引（2021年版）》本行B2C网银支付借记卡服务指导价格为（   ）。","a：0
b：0.10%
c：0.20%
d：0.50%","b：0.10%"
"单选题","收付易商户手续费收取周期包括（   ）。","a：按日
b：按月
c：按季
d：以上都是","d：以上都是"
"单选题","我行民生付收单产品中的个人网关支付是指使用（   ）完成付款的网关支付交易。","a：微信账户
b：个人银行结算账户
c：单位银行结算账户
d：支付宝账户","b：个人银行结算账户"
"单选题","目前银联手机闪付小额免密支付默认限额为：（   ）。","a：单笔300、日1000
b：单笔1000、日1000
c：单笔1000、日2000
d：单笔500、日2000","b：单笔1000、日1000"
"单选题","《中国民生银行网络支付结算业务定价指引（2021年版）》本行B2B网关支付业务服务指导价格为（   ）元每笔。","a：0
b：5
c：7
d：10","c：7"
"判断题","收单机构应本着“认识你的客户”原则，对商户进行有效识别，杜绝无证机构的二清行为。","a：正确
b：错误","b：错误"
"判断题","乐收银APP中的扫一扫功能包含数字人民币扫码付款。","a：正确
b：错误","b：错误"
"判断题","收付易网页版，商户通过单笔付款交易发起经办后，还须另一操作员通过审核后。","a：正确
b：错误","a：正确"
"判断题","宝付易产品签约冻结仅需要客户验卡密确认。","a：正确
b：错误","b：错误"
"单选题","《中国民生银行网络支付结算业务定价指引（2021年版）》跨行批量代收业务交易金额不大于1000元，收取的服务指导价格为（   ）元/笔。","a：0
b：0.5
c：0.7
d：1.2","c：0.7"
"多选题","可疑交易符合哪些情形的，金融机构应当在向中国反洗钱监测分析中心提交可疑交易报告的同时，以电子形式或书面形式向所在地中国人民银行或者其分支机构报告，并配合反洗钱调查？（   ）","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的
d：正常交易的","a：明显涉嫌洗钱、恐怖融资等犯罪活动的
b：严重危害国家安全或者影响社会稳定的
c：其他情节严重或者情况紧急的情形的"
"多选题","为更有效地实现对员工异常行为的监督和管理，我行针对员工异常行为建立预警机制，预警分为（   ）几个级别。","a：黄色预警
b：蓝色预警
c：橙色预警
d：红色预警","a：黄色预警
c：橙色预警
d：红色预警"
"多选题","根据《银行业从业人员职业操守和行为准则》，以下做法错误的是（   ）。","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品
d：严格执行贷前调查、贷时审查和贷后检查等“三查”工作","a：销售或推介未经所在机构审批的产品
b：代销未持有金融牌照机构发行的产品
c：针对特定客户非公开销售优于其他同类客户的存款产品"
"单选题","低风险客户每（   ）年重新评级一次。","a：1
b：2
c：3
d：4","b：2"
